state_code,level_name,statename,date,value,variable,graph_title
33,state,Tamil Nadu,2016-03-01,69.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
34,state,Puducherry,2016-03-01,63.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
35,state,Andaman & Nicobar Islands,2016-03-01,67.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
1,state,Jammu & Kashmir,2016-03-01,56.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
2,state,Himachal Pradesh,2016-03-01,19.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
3,state,Punjab,2016-03-01,30.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
4,state,Chandigarh,2016-03-01,17.10,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
5,state,Uttarakhand,2016-03-01,26.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
6,state,Haryana,2016-03-01,38.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
7,state,NCT of Delhi,2016-03-01,30.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
8,state,Rajasthan,2016-03-01,33.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
9,state,Uttar Pradesh,2016-03-01,51.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
10,state,Bihar,2016-03-01,53.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
11,state,Sikkim,2016-03-01,7.90,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
12,state,Arunachal Pradesh,2016-03-01,51.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
13,state,Nagaland,2016-03-01,45.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
14,state,Manipur,2016-03-01,83.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
15,state,Mizoram,2016-03-01,59.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
16,state,Tripura,2016-03-01,39.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
17,state,Meghalaya,2016-03-01,36.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
18,state,Assam,2016-03-01,39.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
19,state,West Bengal,2016-03-01,49.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
20,state,Jharkhand,2016-03-01,30.00,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
21,state,Odisha,2016-03-01,59.20,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
22,state,Chhattisgarh,2016-03-01,41.70,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
