state_code,level_name,statename,date,value,variable,graph_title
15,state,Mizoram,2017-01-01,2582.88,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
16,state,Tripura,2017-01-01,2190.66,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
18,state,Assam,2017-01-01,1776.76,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
19,state,West Bengal,2017-01-01,1791.44,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
20,state,Jharkhand,2017-01-01,1401.02,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
21,state,Odisha,2017-01-01,1330.96,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
22,state,Chhattisgarh,2017-01-01,1191.49,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
23,state,Madhya Pradesh,2017-01-01,1443.25,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
24,state,Gujarat,2017-01-01,2087.12,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
25,state,Daman & Diu,2017-01-01,3213.22,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
26,state,Dadra & Nagar Haveli,2017-01-01,2325.54,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
27,state,Maharashtra,2017-01-01,2083.38,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
28,state,Andhra Pradesh,2017-01-01,2114.91,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
29,state,Karnataka,2017-01-01,2002.69,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
30,state,Goa,2017-01-01,3535.54,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
31,state,Lakshadweep,2017-01-01,3190.57,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
32,state,Kerala,2017-01-01,2730.11,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
33,state,Tamil Nadu,2017-01-01,2604.11,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
34,state,Puducherry,2017-01-01,3191.87,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
35,state,Andaman & Nicobar Islands,2017-01-01,3527.91,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
