state_code,level_name,statename,date,value,variable,graph_title
35,state,Andaman & Nicobar Islands,2016-03-01,19.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
1,state,Jammu & Kashmir,2016-03-01,28.50,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
2,state,Himachal Pradesh,2016-03-01,14.00,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
3,state,Punjab,2016-03-01,13.80,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
4,state,Chandigarh,2016-03-01,11.80,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
5,state,Uttarakhand,2016-03-01,24.10,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
6,state,Haryana,2016-03-01,15.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
7,state,NCT of Delhi,2016-03-01,22.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
8,state,Rajasthan,2016-03-01,23.60,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
9,state,Uttar Pradesh,2016-03-01,24.10,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
10,state,Bihar,2016-03-01,17.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
11,state,Sikkim,2016-03-01,20.10,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
12,state,Arunachal Pradesh,2016-03-01,20.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
13,state,Nagaland,2016-03-01,26.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
14,state,Manipur,2016-03-01,28.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
15,state,Mizoram,2016-03-01,29.50,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
16,state,Tripura,2016-03-01,32.40,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
17,state,Meghalaya,2016-03-01,16.80,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
18,state,Assam,2016-03-01,26.90,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
19,state,West Bengal,2016-03-01,21.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
20,state,Jharkhand,2016-03-01,22.80,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
21,state,Odisha,2016-03-01,25.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
22,state,Chhattisgarh,2016-03-01,27.40,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
