state_code,level_name,statename,date,value,variable,graph_title
9,state,Uttar Pradesh,2016-03-01,41.60,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
10,state,Bihar,2016-03-01,38.10,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
11,state,Sikkim,2016-03-01,6.10,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
12,state,Arunachal Pradesh,2016-03-01,40.60,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
13,state,Nagaland,2016-03-01,35.20,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
14,state,Manipur,2016-03-01,66.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
15,state,Mizoram,2016-03-01,53.00,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
16,state,Tripura,2016-03-01,29.20,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
17,state,Meghalaya,2016-03-01,44.00,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
18,state,Assam,2016-03-01,36.80,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
19,state,West Bengal,2016-03-01,28.00,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
20,state,Jharkhand,2016-03-01,33.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
21,state,Odisha,2016-03-01,40.80,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
22,state,Chhattisgarh,2016-03-01,39.50,"sector : total; Age : 15-49; Gender : Male; Indicator : Percentage of Men Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
